#systematic_name	gene_name	transcript_clusters
NA	CASP9	TC01002245.hg.1
NA	DNMT1	TC19001159.hg.1
NA	PGR	TC11002220.hg.1,TC11003308.hg.1,TC11003309.hg.1
NA	RAF1	TC03001174.hg.1
NA	TCF3	TC19002285.hg.1,TC19001011.hg.1
NA	TOP1	TC20001221.hg.1,TC20000302.hg.1
NA	COLCA1	TC11002277.hg.1,TC11003338.hg.1
NA	SPINK1	TC05001911.hg.1
NA	WRN	TC08000246.hg.1
NA	NAT2	TC08001822.hg.1,TC08000139.hg.1
NA	AXIN1	TC16000725.hg.1
NA	KRT20	TC17001473.hg.1
NA	VDR	TC12002858.hg.1,TC12001439.hg.1
NA	CEACAM5	TC19000583.hg.1
NA	IGF2	TC11003001.hg.1,TC11001274.hg.1
NA	VEGFC	TC04001765.hg.1
NA	PIK3R1	TC05003038.hg.1,TC05000291.hg.1
NA	IL2	TC04001520.hg.1,TC04002704.hg.1
NA	MUC2	TC11000039.hg.1,TC11002988.hg.1,TC11002494.hg.1
NA	PCNA	TC20000592.hg.1
NA	PARP1	TC01003876.hg.1
NA	RARB	TC03000131.hg.1
NA	LEF1	TC04001459.hg.1
NA	TGFA	TC02001963.hg.1
NA	KRT7	TC12002887.hg.1,TC12000418.hg.1
NA	GSK3B	TC03003047.hg.1,TC03001688.hg.1
NA	ERBB3	TC12003243.hg.1,TC12002907.hg.1,TC12002388.hg.1
NA	FAS	TC10002197.hg.1,TC10002942.hg.1,TC10002196.hg.1
NA	TNFSF10	TC03003211.hg.1,TC03002006.hg.1
NA	RAC1	TC07000065.hg.1
NA	MAP2K1	TC15000613.hg.1
NA	MUC5AC	TC11003511.hg.1,TC11000041.hg.1,TC11002495.hg.1,TC11002496.hg.1
NA	RNASEL	TC01003607.hg.1
NA	FHIT	TC03001506.hg.1
NA	MRE11A	TC11002199.hg.1
NA	FN1	TC02002747.hg.1
NA	BMP6	TC06000062.hg.1
NA	NQO1	TC16001225.hg.1
NA	TLR2	TC04002279.hg.1,TC04000775.hg.1
NA	PTK2	TC08001686.hg.1
NA	MT-CO1	
NA	CYCS	TC07001207.hg.1
NA	PLAUR	TC19001593.hg.1
NA	CYP19A1	TC15001362.hg.1
NA	BMPR1A	TC10000609.hg.1
NA	CAV1	TC07003339.hg.1
NA	FBXW7	TC04001647.hg.1
NA	RAD54B	TC08002429.hg.1,TC08001433.hg.1
NA	SP1	TC12000437.hg.1,TC12002368.hg.1
NA	MMP14	TC14000133.hg.1
NA	XRCC2	TC07002047.hg.1
NA	CDK1	TC10000373.hg.1
NA	ERCC2	TC19001618.hg.1,TC19002518.hg.1,TC19002519.hg.1
NA	CDK2	TC12000496.hg.1
NA	TCF4	TC18000527.hg.1
NA	E2F1	TC20000773.hg.1
NA	CDX2	TC13000513.hg.1
NA	MMP11	TC22000138.hg.1
NA	PTPRJ	TC11002664.hg.1,TC11000412.hg.1
NA	NOS2	TC17002562.hg.1,TC17002894.hg.1
NA	FGFR2	TC10001711.hg.1
NA	CCND2	TC12000060.hg.1
NA	IL1B	TC02002219.hg.1
NA	RASSF1	TC03001429.hg.1
NA	MUT	TC06001782.hg.1
NA	HSP90AA1	TC14002169.hg.1,TC14001526.hg.1
NA	MTOR	TC01002197.hg.1
NA	MUC6	TC11002987.hg.1,TC11001256.hg.1
NA	PROM1	TC04002940.hg.1
NA	KRT19	TC17002906.hg.1
NA	IFNA2	TC09000960.hg.1
NA	ABCC1	TC16000193.hg.1
NA	SERPINB5	TC18000226.hg.1
NA	RHOA	TC03001408.hg.1
NA	TIMP1	TC0X000238.hg.1
NA	FOS	TC14000471.hg.1
NA	FLT1	TC13001387.hg.1,TC13000517.hg.1
NA	CTSD	TC11003472.hg.1
NA	DNMT3B	TC20001194.hg.1,TC20000215.hg.1
NA	CTSB	TC08000980.hg.1
NA	XIAP	TC0X000604.hg.1,TC0X001858.hg.1
NA	CDX1	TC05000828.hg.1
NA	UGT1A1	TC02001420.hg.1
NA	PPARD	TC06000514.hg.1,TC06002752.hg.1
NA	WNT5A	TC03001482.hg.1
NA	PLA2G2A	TC01002307.hg.1
NA	RPS6KB1	TC17000729.hg.1
NA	MCL1	TC01003205.hg.1
NA	MUC12	TC07002494.hg.1,TC07000639.hg.1
NA	CCKBR	TC11002539.hg.1,TC11000129.hg.1
NA	MAPK14	TC06000523.hg.1
NA	FIGF	TC0X002326.hg.1
NA	TGFB2	TC01001805.hg.1
NA	WNT1	TC12000360.hg.1
NA	MTA1	TC14000836.hg.1
NA	CA9	TC09000191.hg.1
NA	RUNX3	TC01005339.hg.1,TC01005341.hg.1,TC01005340.hg.1,TC01002370.hg.1
NA	PTPN12	TC07002426.hg.1,TC07000495.hg.1
NA	RAD50	TC05000639.hg.1
NA	ITGB1	TC10001163.hg.1,TC10001164.hg.1,TC10000229.hg.1
NA	CCNB1	TC05002418.hg.1,TC05000298.hg.1
NA	AREG	TC04002952.hg.1,TC04002953.hg.1
NA	TIMP2	TC17001923.hg.1,TC17002807.hg.1
NA	NAT1	TC08001821.hg.1,TC08000137.hg.1,TC08001820.hg.1
NA	CTNNA1	TC05000702.hg.1
NA	XPC	TC03001194.hg.1,TC03002817.hg.1
NA	GAST	TC17000515.hg.1
NA	FASN	TC17001973.hg.1
NA	PTGER4	TC05000184.hg.1
NA	PTPRT	TC20000855.hg.1
NA	LGALS3BP	TC17001924.hg.1
NA	TIAM1	TC21000388.hg.1
NA	PRKCA	TC17000783.hg.1
NA	ANXA5	TC04001514.hg.1
NA	CCNA2	TC04001516.hg.1
NA	PDGFRB	TC05003303.hg.1,TC05001933.hg.1
NA	IDH1	TC02002726.hg.1
NA	PPP2R1B	TC11002284.hg.1
NA	FLT4	TC05002148.hg.1,TC05003386.hg.1
NA	HDAC1	TC01000427.hg.1
NA	TMEFF2	TC02002628.hg.1
NA	BCL10	TC01002828.hg.1
NA	EXO1	TC01001976.hg.1
NA	LGALS3	TC14001693.hg.1,TC14000323.hg.1
NA	DEAF1	TC11001244.hg.1
NA	CHEK1	TC11003470.hg.1
NA	PSG2	TC19001581.hg.1
NA	IL1RN	TC02000720.hg.1
NA	PIK3CG	TC07000687.hg.1
NA	E2F4	TC16000533.hg.1
NA	RAD51	TC15002160.hg.1,TC15000292.hg.1
NA	IL6R	TC01001276.hg.1
NA	CFLAR	TC02001174.hg.1
NA	KRT5	TC12002888.hg.1,TC12001526.hg.1
NA	UMPS	TC03002505.hg.1,TC03000644.hg.1
NA	GLUL	TC01003605.hg.1
NA	CSF3	TC17002194.hg.1,TC17000486.hg.1
NA	CXCL8	TC04000408.hg.1,TC04002067.hg.1
NA	TLR9	TC03001448.hg.1
NA	TOP2A	TC17001462.hg.1,TC17002618.hg.1
NA	THBS1	TC15000270.hg.1
NA	PHLPP1	TC18000224.hg.1
NA	SYNE1	TC06002238.hg.1
NA	MUC16	TC19001139.hg.1
NA	CYP3A4	TC07001649.hg.1
NA	AKT2	TC19001532.hg.1
NA	GNL3	TC03000339.hg.1
NA	ALOX12	TC17002029.hg.1,TC17000081.hg.1
NA	RNF43	TC17001732.hg.1
NA	PTGS1	TC09000614.hg.1
NA	WNT2	TC07001794.hg.1,TC07003130.hg.1
NA	NDRG1	TC08001659.hg.1
NA	MUC4	TC03003289.hg.1,TC03002150.hg.1,TC03003290.hg.1
NA	MKI67	TC10001756.hg.1
NA	CXCL12	TC10001212.hg.1,TC10002589.hg.1
NA	TNFRSF10A	TC08001052.hg.1
NA	DLEC1	TC03002287.hg.1,TC03002286.hg.1,TC03000186.hg.1
NA	FSCN1	TC07000055.hg.1
NA	HDAC9	TC07002171.hg.1,TC07000116.hg.1
NA	KRT18	TC12000424.hg.1
NA	MYCN	TC02000094.hg.1
NA	GDF15	TC19000356.hg.1
NA	CEACAM3	TC19000585.hg.1
NA	EPHA2	TC01002258.hg.1
NA	KLF5	TC13000273.hg.1
NA	FZD7	TC02001185.hg.1
NA	FGFR1	TC08001147.hg.1
NA	DHFR	TC05001538.hg.1
NA	CTNND1	TC11003450.hg.1
NA	ENG	TC09001609.hg.1
NA	IGFBP2	TC02001281.hg.1
NA	CEACAM7	TC19001560.hg.1
NA	HPGD	TC04001753.hg.1
NA	PTGER2	TC14000306.hg.1
NA	TGFB3	TC14001326.hg.1
NA	SFRP2	TC04001657.hg.1
NA	MT-ND1	
NA	WNT3A	TC01001883.hg.1
NA	HSPA5	TC09001589.hg.1
NA	EPHA3	TC03000468.hg.1
NA	SST	TC03002094.hg.1
NA	ZEB1	TC10000219.hg.1
NA	EZH2	TC07001993.hg.1
NA	CASP7	TC10000825.hg.1
NA	SMAD6	TC15002247.hg.1,TC15000616.hg.1
NA	SOD2	TC06004141.hg.1,TC06004142.hg.1
NA	FOLH1	TC11000888.hg.1,TC11001758.hg.1
NA	CYP1B1	TC02001749.hg.1,TC02001750.hg.1
NA	PHLPP2	TC16001250.hg.1
NA	CYP2E1	TC10000956.hg.1
NA	ALK	TC02001708.hg.1
NA	ILK	TC11000133.hg.1
NA	MUC3A	TC07002493.hg.1,TC07000638.hg.1
NA	TFF1	TC21000486.hg.1
NA	DMBT1	TC10000890.hg.1
NA	CSE1L	TC20000384.hg.1
NA	PDCD4	TC10000808.hg.1
NA	GRPR	TC0X000073.hg.1
NA	JUP	TC17002907.hg.1
NA	DVL1	TC01002092.hg.1
NA	STAT1	TC02002624.hg.1
NA	FGF2	TC04002187.hg.1,TC04000630.hg.1
NA	KLF4	TC09001447.hg.1
NA	ETS1	TC11002439.hg.1
NA	HMGB1	TC13001407.hg.1,TC13000534.hg.1
NA	CACNA1G	TC17000671.hg.1
NA	FZD10	TC12001033.hg.1
NA	ERCC6	TC10001276.hg.1
NA	HDAC2	TC06002035.hg.1,TC06003812.hg.1
NA	PALB2	TC16000967.hg.1
NA	BNIP3	TC10001769.hg.1
NA	TCF7	TC05000657.hg.1,TC05002628.hg.1
NA	FGFR4	TC05001010.hg.1
NA	GUCY2C	TC12001271.hg.1,TC12002772.hg.1
NA	IL10	TC01003766.hg.1,TC01006066.hg.1
NA	MEN1	TC11001913.hg.1
NA	ICAM1	TC19000174.hg.1,TC19001977.hg.1
NA	IFNA1	TC09000103.hg.1
NA	NOTCH1	TC09001734.hg.1
NA	CDKN3	TC14000316.hg.1
NA	CDS1	TC04000462.hg.1
NA	NCOA3	TC20000372.hg.1
NA	KLF6	TC10002411.hg.1,TC10000979.hg.1
NA	MTR	TC01005133.hg.1,TC01001956.hg.1
NA	APEX1	TC14000055.hg.1
NA	BHD	
NA	CYP24A1	TC20000962.hg.1
NA	CEACAM1	TC19001575.hg.1,TC19002491.hg.1
NA	FAN1	TC15000194.hg.1
NA	UGT1A7	
NA	SELE	TC01003501.hg.1
NA	WWOX	TC16000631.hg.1
NA	LGALS4	TC19001505.hg.1
NA	GRB2	TC17001877.hg.1
NA	CYP17A1	TC10001625.hg.1
NA	IGFBP7	TC04002560.hg.1,TC04001226.hg.1
NA	BMP4	TC14001148.hg.1
NA	FH	TC01004025.hg.1
NA	BRIP1	TC17001769.hg.1
NA	XRCC5	TC02001271.hg.1
NA	GSTA1	TC06001803.hg.1
NA	SPP1	TC04002100.hg.1,TC04000478.hg.1
NA	TNFRSF9	TC01002163.hg.1
NA	NTN1	TC17000143.hg.1
NA	PRKD1	TC14001000.hg.1
NA	PSCA	TC08000808.hg.1,TC08002144.hg.1
NA	TDGF1	TC03003404.hg.1,TC03003403.hg.1
NA	TFF3	TC21000749.hg.1,TC21000484.hg.1
NA	HLTF	TC03001882.hg.1
NA	ERBB4	TC02002735.hg.1
NA	ST6GAL1	TC03001028.hg.1,TC03002711.hg.1
NA	MIR21	TC17000728.hg.1
NA	SOCS1	TC16000862.hg.1
NA	ALCAM	TC03000534.hg.1
NA	CSK	TC15000685.hg.1
NA	BCAR3	TC01002879.hg.1
NA	WT1	TC11000308.hg.1,TC11003109.hg.1,TC11001533.hg.1
NA	BCAR1	TC16001276.hg.1
NA	MBD4	TC03001771.hg.1
NA	FPGS	TC09000672.hg.1,TC09002272.hg.1
NA	KRT14	TC17001513.hg.1
NA	CEACAM6	TC19000584.hg.1
NA	PDGFRA	TC04002931.hg.1
NA	WNT6	TC02001313.hg.1
NA	MAPRE2	TC18000142.hg.1
NA	BAD	TC11001903.hg.1
NA	CASR	TC03000627.hg.1
NA	TXN	TC09001473.hg.1
NA	MPO	TC17001727.hg.1
NA	CDKN2B	TC09000965.hg.1
NA	GLI1	TC12000530.hg.1
NA	PLK1	TC16000258.hg.1
NA	ATR	TC03001854.hg.1
NA	APC2	TC19000040.hg.1
NA	BMI1	TC10002935.hg.1
NA	TP63	TC03001042.hg.1
NA	NKX2-1	TC14002321.hg.1
NA	PTHLH	TC12001341.hg.1
NA	VHL	TC03002213.hg.1,TC03000055.hg.1
NA	SNCG	TC10000611.hg.1
NA	EPHX1	TC01001856.hg.1
NA	RELA	TC11001939.hg.1,TC11003206.hg.1,TC11003207.hg.1
NA	SLC2A1	TC01002578.hg.1
NA	ETV4	TC17001560.hg.1,TC17002651.hg.1
NA	CRP	TC01003389.hg.1
NA	CSF2	TC05000629.hg.1
NA	BLCAP	TC20000826.hg.1
NA	PAK1	TC11002123.hg.1
NA	RAD51C	TC17000714.hg.1
NA	CTAG1B	TC0X000778.hg.1,TC0X001539.hg.1
NA	CASP10	TC02001176.hg.1
NA	IRF1	TC05001767.hg.1
NA	MACC1	TC07001182.hg.1,TC07002818.hg.1
NA	UGT1A9	
NA	HNF4A	TC20000330.hg.1
NA	SLC29A1	TC06000614.hg.1
NA	TMPRSS2	TC21000471.hg.1
NA	BMP2	TC20000067.hg.1
NA	JAK1	TC01002742.hg.1,TC01002741.hg.1
NA	HOXB13	TC17001651.hg.1
NA	UGT1A6	
NA	SERPINE1	TC07002499.hg.1,TC07000643.hg.1
NA	LEP	TC07000768.hg.1
NA	FUT4	TC11003296.hg.1,TC11000921.hg.1
NA	HMGA2	TC12002935.hg.1,TC12002424.hg.1,TC12000587.hg.1,TC12002423.hg.1
NA	TPX2	TC20000198.hg.1
NA	CRCS2	
NA	EBAG9	TC08000669.hg.1
NA	ALDH2	TC12000871.hg.1,TC12003212.hg.1
NA	JAK2	TC09000035.hg.1
NA	TWIST1	TC07002176.hg.1,TC07001175.hg.1
NA	CYP2A6	TC19001549.hg.1
NA	CCNE1	TC19000416.hg.1
NA	PER1	TC17002849.hg.1
NA	CD80	TC03001684.hg.1
NA	ST14	TC11001195.hg.1
NA	MAPK9	TC05002145.hg.1
NA	FUT3	TC19001085.hg.1
NA	SKP2	TC05000161.hg.1
NA	CYP1A2	TC15000684.hg.1
NA	ASCL1	TC12000796.hg.1
NA	NTRK1	TC01001328.hg.1
NA	CRCS6	
NA	CRCS5	
NA	CRCS11	
NA	CRCS9	
NA	BIRC3	TC11000956.hg.1
NA	ST3GAL1	TC08001660.hg.1,TC08002539.hg.1
NA	TJP1	TC15001110.hg.1
NA	SHBG	TC17002038.hg.1,TC17000106.hg.1
NA	ING1	TC13000395.hg.1
NA	CREBBP	TC16000823.hg.1
NA	GREM1	TC15000226.hg.1
NA	MAP2K2	TC19001058.hg.1
NA	IRS1	TC02004835.hg.1,TC02002830.hg.1
NA	TMSB4X	TC0X000053.hg.1
NA	ZEB2	TC02004623.hg.1,TC02004620.hg.1,TC02002399.hg.1
NA	EPHB6	TC07000923.hg.1,TC07002640.hg.1
NA	PTCH1	TC09002678.hg.1,TC09002677.hg.1,TC09001366.hg.1
NA	KMT2C	TC07002045.hg.1,TC07002682.hg.1
NA	GNRH1	TC08001069.hg.1
NA	ITGA9	TC03000181.hg.1
NA	PIK3R5	TC17001124.hg.1
NA	CLCA2	TC01000821.hg.1
NA	ALDH1A1	TC09001211.hg.1
NA	KRT8	TC08000415.hg.1,TC12001539.hg.1
NA	FABP6	TC05000893.hg.1
NA	ST3GAL4	TC11001174.hg.1
NA	APAF1	TC12000765.hg.1
NA	DAPK1	TC09000398.hg.1
NA	PRSS1	TC07003345.hg.1
NA	VIM	TC10000126.hg.1
NA	PHB	TC17001664.hg.1
NA	KLK10	TC19001767.hg.1
NA	CRCS10	
NA	GRP	TC18000740.hg.1,TC18000211.hg.1
NA	PRL	TC06001320.hg.1
NA	ADIPOQ	TC03001027.hg.1
NA	CREB1	TC02001229.hg.1,TC02003791.hg.1
NA	NRG1	TC08000250.hg.1,TC08000255.hg.1,TC08000252.hg.1
NA	HIC1	TC17002006.hg.1,TC17002438.hg.1,TC17000019.hg.1
NA	SHH	TC07002064.hg.1
NA	PIK3R3	TC01002616.hg.1
NA	GLI3	TC07001319.hg.1
NA	TK1	TC17001914.hg.1
NA	PRKACA	TC19001231.hg.1
NA	SULT1A1	TC16000991.hg.1
NA	LASP1	TC17000469.hg.1
NA	WNT10A	TC02001314.hg.1
NA	ERCC4	TC16000170.hg.1
NA	SNAI2	TC08001199.hg.1
NA	GSTM3	TC01005690.hg.1,TC01002962.hg.1
NA	MUC7	TC04000386.hg.1
NA	EGR1	TC05000701.hg.1
NA	ETV1	TC07001152.hg.1,TC07002154.hg.1
NA	TSG101	TC11001466.hg.1
NA	UCHL1	TC04000253.hg.1
NA	ABL1	TC09000741.hg.1,TC09002302.hg.1
NA	PIK3CB	TC03001824.hg.1
NA	PXN	TC12002037.hg.1,TC12002038.hg.1
NA	GPX1	TC03001407.hg.1
NA	MAP3K6	TC01002405.hg.1
NA	BRINP1	TC09001533.hg.1
NA	FOXO3	TC06000868.hg.1,TC06002977.hg.1
NA	COMT	TC22000050.hg.1,TC22000966.hg.1
NA	TNFRSF1A	TC12001135.hg.1
NA	GUCA2B	TC01000525.hg.1
NA	PRKCE	TC02000280.hg.1
NA	CLU	TC08001081.hg.1,TC08002263.hg.1
NA	PTTG1	TC05000896.hg.1
NA	SIRT1	TC10000400.hg.1
NA	CAT	TC11000327.hg.1
NA	BECN1	TC17001545.hg.1
NA	CTTN	TC11000727.hg.1
NA	ALB	TC04000403.hg.1
NA	STS	TC0X000025.hg.1,TC0X001584.hg.1
NA	FANCG	TC09001049.hg.1
NA	FUT6	TC19001084.hg.1
NA	ADH1B	TC04001410.hg.1
NA	MME	TC03000846.hg.1
NA	PIK3R2	TC19002628.hg.1
NA	MUC5B	TC11002497.hg.1,TC11002498.hg.1,TC11003510.hg.1,TC11002499.hg.1
NA	CYP2D6	TC22001430.hg.1
NA	PTGDS	TC09002910.hg.1
NA	AHR	TC07000112.hg.1
NA	MELK	TC09000207.hg.1
NA	SFRP1	TC08001166.hg.1,TC08002303.hg.1
NA	RRM1	TC11000090.hg.1
NA	CTAG2	TC0X001542.hg.1
NA	ERCC5	TC13001721.hg.1
NA	WNT2B	TC01000989.hg.1
NA	CTLA4	TC02003774.hg.1,TC02001201.hg.1
NA	ZFHX3	TC16001259.hg.1
NA	PKM	TC15002776.hg.1,TC15002610.hg.1
NA	FZD4	TC11002170.hg.1
NA	MAP2K4	TC17002052.hg.1,TC17000155.hg.1
NA	NRP1	TC10001166.hg.1
NA	IGF2R	TC06001152.hg.1
NA	DICER1	TC14002137.hg.1,TC14001472.hg.1
NA	HMMR	TC05000907.hg.1
NA	SMARCA4	TC19000190.hg.1
NA	MAGEA4	TC0X000736.hg.1
NA	STAT5B	TC17001529.hg.1
NA	INS	TC11001274.hg.1
NA	PPM1D	TC17002305.hg.1,TC17000739.hg.1
NA	OBSCN	TC01001890.hg.1,TC01001888.hg.1
NA	PDGFB	TC22000802.hg.1
NA	TGM2	TC20000833.hg.1
NA	CDH3	TC16000558.hg.1
NA	ADH1C	TC04001411.hg.1
NA	ENPP7	TC17000910.hg.1
NA	SOS1	TC02001761.hg.1
NA	NPM1	TC05000942.hg.1
NA	SOX2	TC03000969.hg.1
NA	BIRC7	TC20000508.hg.1
NA	ADAMTSL3	TC15002331.hg.1,TC15000800.hg.1
NA	ZDHHC2	TC08000125.hg.1
NA	TG	TC08000769.hg.1
NA	NOD2	TC16001882.hg.1,TC16000442.hg.1,TC16001549.hg.1,TC16001548.hg.1
NA	CRCS8	
NA	CRCS7	
NA	RBBP8	TC18000097.hg.1
NA	CHUK	TC10002931.hg.1
NA	IGFBP1	TC07000294.hg.1
NA	AMACR	TC05003422.hg.1
NA	RPS20	TC08001228.hg.1
NA	BLM	TC15000868.hg.1,TC15002705.hg.1
NA	SMO	TC07000795.hg.1
NA	CDC42	TC01000280.hg.1
NA	EZR	TC06002265.hg.1
NA	ALPP	TC02001398.hg.1
NA	EREG	TC04000414.hg.1
NA	CALCA	TC11001445.hg.1,TC11003065.hg.1
NA	PIK3CD	TC01000118.hg.1
NA	MTRR	TC05000056.hg.1
NA	CHGA	TC14000574.hg.1
NA	NTRK3	TC15001815.hg.1,TC15002690.hg.1
NA	CES2	TC16001604.hg.1,TC16000524.hg.1
NA	IL4	TC05000641.hg.1
NA	EDNRB	TC13000748.hg.1,TC13001585.hg.1
NA	CAGE1	TC06004108.hg.1
NA	YBX1	TC01000531.hg.1
NA	PTPRH	TC19001862.hg.1
NA	HSPB1	TC07000485.hg.1
NA	BIRC2	TC11000957.hg.1
NA	SNAI1	TC20000395.hg.1
NA	BAG1	TC09001009.hg.1
NA	TIMP3	TC22001311.hg.1,TC22000248.hg.1
NA	WNT16	TC07000736.hg.1
NA	RECK	TC09000201.hg.1
NA	AFP	TC04000404.hg.1
